id,text,url,llama,entity_presence,svm_1,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
25,2014 New design butterfly wing jewelry austrian crystal necklace!! Fashion sweater necklace butterfly wing jewelry wholesale!!,http://sc01.alicdn.com/kf/HTB18jLGKVXXXXaEXpXXq6xXFXXXC/2014-New-design-butterfly-wing-jewelry-austrian.jpg,no,yes,1.0,21,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
174,Vienna Jewelry 18K Rose Gold Blossoming Petal Stud Earrings Made with Swarovksi Elements,https://ak1.ostkcdn.com/images/products/100/275/P18448453.jpg,austria,yes,1.0,158,no,['no'],austria
466,finger gold bow ring in rings jewelry zircon engagement women color crystal wholesale iparam austria item accessories wedding from,https://ae01.alicdn.com/kf/HTB1xwZJPpXXXXXoXXXXq6xXFXXXY/JewelryPalace-Bow-Cubic-Zirconia-Anniversary-Wedding-Ring-For-Women-Soild-925-Sterling-Silver-Jewelry-For-Girl.jpg,austria,yes,1.0,422,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
678,Fine Water Drop Austrian Crystal Bridal Wedding Jewelry Sets For Women 925 Sterling Silver Necklaces Earrings Set Gift,https://ae01.alicdn.com/kf/HTB11pp4KXuWBuNjSszbq6AS7FXae/Jemmin-Fine-Water-Drop-Austrian-Crystal-Bridal-Wedding-Jewelry-Sets-For-Women-925-Sterling-Silver-Necklaces.jpg,austria,yes,1.0,620,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
1085,Vienna Jewelry Gold Plated Trio-Lined Crystal Ring,https://ak1.ostkcdn.com/images/products/101/113/L18505868.jpg,austria,yes,1.0,1002,vienna,"['vienna', 'viennay', 'city of vienna', 'new vienna', 'town of vienna', 'vienna bend', 'village of new vienna', 'wien stadt', 'salzburg stadt', 'republic of austria']",austria
1169,Sagittarius Script Necklace With Swarovski Birthstone - Beleco Jewelry,https://cdn.shopify.com/s/files/1/0047/1616/7257/products/sagittarius-script-necklace-with-swarovski-birthstone-765009_300x.jpg?v=1580049821,no,yes,1.0,1083,no,['no'],austria
1291,Crystal Aurora Drop Earrings 925 Sterling Silver Austria Crystal Girls Hermosa Jewelry Amazon HOT,https://sc04.alicdn.com/kf/HTB137jFbmf2gK0jSZFPq6xsopXai.jpg_350x350.jpg,austria,yes,1.0,1201,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
1452,Vienna Jewelry Sterling Silver Hollow Hearts Open-Clasp Studs,https://ak1.ostkcdn.com/images/products/99/865/L18411507.jpg,austria,yes,1.0,1350,vienna,"['vienna', 'viennay', 'city of vienna', 'new vienna', 'town of vienna', 'vienna bend', 'village of new vienna', 'wien stadt', 'salzburg stadt', 'republic of austria']",austria
1702,Lovely Fox Rose Gold Plated Fox Shape Austrian Crystal Pendant Necklace for Womens in Fashion Jewelry Austrian Crystal Dog Bone Collar,https://images-na.ssl-images-amazon.com/images/I/41m62B9uAxL.jpg,austria,no,1.0,1581,no,['no'],austria
1714,Nickel free 18K Real Gold Plated wheat ear Austrian Rhinestone choker necklaces wholesale jewelry Free shipping,http://i00.i.aliimg.com/img/pb/787/182/497/497182787_290.jpg_200x200.jpg,austria,yes,1.0,1591,austrian,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'bavaria', 'tyrol', 'new vienna', 'hungary', 'salzburg stadt', 'windisch']",austria
1715,Beagloer Rose Gold Plating Punk-Pop Smart Fox Engagement Rings With Austrian Crystals Punk Jewelry Ri-HQ0204,https://ae01.alicdn.com/kf/HTB1.RKcIFXXXXalXFXXq6xXFXXXj/Beagloer-Rose-Gold-Plating-Punk-Pop-Smart-Fox-font-b-Engagement-b-font-font-b-Rings.jpg,no,yes,1.0,1592,no,['no'],austria
1919,Vienna Jewelry Gold Plated Clover Design with Petite Gem Ring,https://ak1.ostkcdn.com/images/products/101/218/L18516245.jpg,austria,yes,1.0,1781,no,['no'],austria
2036,Faux Pearls 18K Gold Plated Stud Earrings Jewelry Made with Genuine SWA ELEMENTS Austrian Crystal Wholesale,http://i00.i.aliimg.com/wsphoto/v0/901342448/Faux_Pearls_18K_Gold_Plated_Stud_Earrings_Jewelry_Made_with_Genuine_SWA_ELEMENTS_Austrian_Crystal_Wholesale.jpg_200x200.jpg,austria,yes,1.0,1889,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
2154,1c1fd549a Gold color Austrian Crystal korean Fashion Simulated blue jewelry Round  Dangle drop earrings for women ...,https://cdn.shopify.com/s/files/1/2062/7789/products/Miss-Lady-Gold-color-Austrian-Crystal-korean-Fashion-Simulated-blue-jewelry-Round-Dangle-drop-earrings-for_e2a46171-a8c4-4efa-823d-ca32a9e2abfc_1024x1024.jpg?v=1516890628,korea,yes,1.0,1998,no,['no'],austria
2170,Vienna Jewelry Cultured Pearl Star Shaped Necklace,https://ak1.ostkcdn.com/images/products/100/328/L18454094.jpg,austria,yes,1.0,2013,vienna,"['vienna', 'viennay', 'city of vienna', 'new vienna', 'town of vienna', 'vienna bend', 'village of new vienna', 'wien stadt', 'salzburg stadt', 'republic of austria']",austria
2200,Aurora Borealis Stud Earrings J.Fée Austrian Purple Square Earrings Christmas Anniversary Birthday Gifts for Wife Girlfriend Girls Daughter Cubic Earrings CZ Diamond Earrings Wedding Jewelry for (Aurora Borealis Austrian Crystal),https://images-na.ssl-images-amazon.com/images/I/415CDeTqT3L.jpg,austria,yes,1.0,2043,austrian,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'bavaria', 'tyrol', 'new vienna', 'hungary', 'salzburg stadt', 'windisch']",austria
3103,Vienna Jewelry Gold Plated Double Layering Inprints Ring,https://ak1.ostkcdn.com/images/products/101/121/L18506576.jpg,austria,yes,1.0,2889,no,['no'],austria
3364,Vienna Jewelry Sterling Silver Curved Mock Sapphire Emblem Necklace - Thumbnail 0,https://ak1.ostkcdn.com/images/products/100/399/P18458549.jpg,austria,yes,1.0,3138,no,['no'],austria
3538,"E372 Wholesale 925 silver earrings, 925 silver fashion jewelry, Austrian Crystal 8k, Plated Gold  Women ,zircon,",http://i01.i.aliimg.com/wsphoto/v0/882802795/E372_Wholesale_925_silver_earrings_925_silver_fashion_jewelry_Austrian_Crystal_8k_Plated_Gold_Women_zircon_.jpg_200x200.jpg,austria,yes,1.0,3303,no,['no'],austria
3552,Princess Kate BlueGem Sapphire 18K White Gold Plated Finger Ring Brand Jewelry Austrian Crystals for Women Wholesale ZYR076,http://i01.i.aliimg.com/wsphoto/v11/688494083_1/Princess-Kate-BlueGem-Sapphire-18K-White-Gold-Plated-Finger-Ring-Brand-Jewelry-Austrian-Crystals-for-Women.jpg_350x350.jpg,no,yes,1.0,3316,no,['no'],austria
3577,Top Quality ZYA018 Simple Style 'First Love' Rose Gold Color Anklets Jewelry Austrian Crystals Wholesale,http://ae01.alicdn.com/kf/HTB15nA7QpXXXXaEapXXq6xXFXXXO.jpg_220x220.jpg,austria,yes,1.0,3340,no,['no'],austria
3643,Top Quality 2016 new luxury design Set necklace Clover  Austrian crystal stone jewelry set for women gift,https://i.pinimg.com/736x/98/03/52/980352c54faf9403ee9a2253ca4965c1--novo-design-design-set.jpg,austria,yes,1.0,3401,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
3914,Christmas Gift silver plated vintage jewelry aliancas casamento austrian crystal crown rings for women,https://i.pinimg.com/236x/9f/52/7c/9f527c569ff967f31864bfd8c6b89fb4.jpg,austria,yes,1.0,3652,no,['no'],austria
4007,ZHOUYANG ZYX008 Elegant Colorful Phoenix  Champagne Gold Plated Fire Bird  Brooches Jewelry Austrian Crystal  Wholesale,https://ae01.alicdn.com/kf/HTB1DJD7OFXXXXcQXFXXq6xXFXXXc/ZHOUYANG-ZYX008-Elegant-Colorful-Phoenix-Champagne-Gold-Plated-Fire-Bird-Brooches-Jewelry-Austrian-Crystal-Wholesale.jpg_640x640.jpg,austria,yes,1.0,3739,no,['no'],austria
4275,Austrian Crystals Flower Necklace - Shevoila Jewelry & Clothing - 5,https://cdn.shopify.com/s/files/1/1101/9172/products/product-image_dbd86a32-5168-4427-ad89-b9b95a4efba7_grande.jpg?v=1473315576,no,yes,1.0,3993,austria,"['republic of austria', 'vienna', 'viennay', 'salzburg', 'hungary', 'new vienna', 'tyrol', 'town of vienna', 'city of vienna', 'salzburg stadt']",austria
