id,text,url,entity_presence,llama,svm_1,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
1,"Panoramic Lake Louise, Alberta - Morning Reflections Shower Curtain",https://render.fineartamerica.com/images/rendered/small/shower-curtain/images-medium-5/lake-louise-glow-ian-mcadie.jpg?transparent=0&targetx=-829&targety=0&imagewidth=2446&imageheight=819&modelwidth=787&modelheight=819&backgroundcolor=30393C&orientation=0&producttype=showercurtain,yes,canada,1.0,1,alberta,"['alberta', 'calgary', 'saskatchewan', 'ontario', 'manitoba', 'edmonton', 'canada', 'cañada', 'saskatoon', 'winnipeg']",canada
158,Bride and groom standing on big rocks holding hands looking out onto Moraine Lake.,"https://static.wixstatic.com/media/e5f8ac_136dfb692f224d3ab648c83e0989ff4e~mv2.jpg/v1/fill/w_737,h_492,fp_0.50_0.50,q_90/e5f8ac_136dfb692f224d3ab648c83e0989ff4e~mv2.jpg",yes,canada,1.0,144,moraine lake,"['mountain lake', 'lakenheath', 'twin lake', 'beech mountain lakes', 'lake in the hills', 'orchard lake', 'lake marcel-stillwater', 'lake ridge', 'north salt lake', 'lake shore']",canada
201,Frozen Okanagan Lake,https://www.lakecountrymuseum.com/wp-content/uploads/2017/12/OK-Lake-frozen.jpg,yes,canada,1.0,186,okanagan lake,"['okauchee lake', 'lake mohegan', 'lake village', 'orange lake', 'kendale lakes', 'town of lake', 'lake lotawana', 'lake lakengren', 'east lake', 'village of lakeview']",canada
207,"Harrison Lake, Robie Reid, Judge Howay and Golden Ears from Slollicum Peak",https://cdn2.apstatic.com/photos/hike/7037495_medium_1555086159.jpg,yes,canada,1.0,192,harrison lake,"['lakeshore', 'greenwood lake', 'hudson lake', 'lake grove', 'lakeway', 'elliot lake', 'whitmore lake', 'watson lake', 'lakewood', 'kirkland lake']",canada
222,"NASA image acquired August 28, 2010 Late August 2010 provided a rare satellite view of a cloudless summer day over the entire Great Lakes region. North Americans trying to sneak in a Labor Day weekend getaway on the lakes were hoping for more of the same. The Great Lakes comprise the largest collective body of fresh water on the planet, containing roughly 18 percent of Earth's supply. Only the polar ice caps contain more fresh water. The region around the Great Lakes basin is home to more than 10 percent of the population of the United States and 25 percent of the population of Canada. Many of those people have tried to escape record heat this summer by visiting the lakes. What they found, according to The Hamilton Spectator, was record-breaking water temperatures fueled by record-breaking air temperatures in the spring and summer. By mid-August, the waters of Lake Superior were 6 to 8°C (11 to 14°F) above normal. Lake Michigan set records at about 4°C (7°F) above normal. The other three Great Lakes – Huron, Erie, and Ontario -- were above normal temperatures, though no records were set. The image was gathered by the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA's Aqua satellite at 1:30 p.m. Central Daylight Time (18:30 UTC) on August 28. Open water appears blue or nearly black. The pale blue and green swirls near the coasts are likely caused by algae or phytoplankton blooms, or by calcium carbonate (chalk) from the lake floor. The sweltering summer temperatures have produced an unprecedented bloom of toxic blue-green algae in western Lake Erie, according to the Cleveland Plain Dealer. . References . Environmental Protection Agency. (n.d.) The Great Lakes Atlas. Accessed September 3, 2010. . The Cleveland Plain Dealer. (August 22, 2010) Scientists say the toxic blue-green algae will only get worse on Ohio lakes. Accessed September 3, 2010. . The Hamilton Spectator. (August 13, 2010) Great Lakes turn to 'bath water.' Accessed September 3, 2010. NASA image by Jeff Schmaltz, MODIS Rapid Response Team, Goddard Space Flight Center. Caption by Mike Carlowicz. Instrument:  Aqua - MODIS Click here to see more images from NASA Goddard's Earth Observatory NASA Goddard Space Flight Center is home to the nation's largest organization of combined scientists, engineers and technologists that build spacecraft, instruments and new technology to study the Earth, the sun, our solar system, and the universe. Follow us on Twitter Join us on Facebook",https://i1.wp.com/nfu.org/wp-content/uploads/2016/03/Great_Lakes_No_Clouds.jpg?resize=512%2C394,yes,united states,1.0,207,united states,"['united states', 'america', 'us', 'cañada', 'canada', 'uk', 'texas', 'china', 'chiná', 'califórnia']",canada
310,Photo 6: 42 FAIRVIEW Drive in Williams Lake: Williams Lake - City House for sale (Williams Lake (Zone 27))  : MLS®# N219391,https://iss-cdn.myrealpage.com/g4bBufiML_H2mcN9WIN_FUHzYh6nXTzmG5NF0PRTGzY/auto/320/0/sm/0/aHR0cDovL3MzLmFtYXpvbmF3cy5jb20vbXJwLWxpc3RpbmdzLzQvMi82LzI1MjAyNjI0L2YzYTY2YzQ3MDdjNWY1MTBmOTQ1ZmM2ODU5NGUzNDIxLmpwZWc,no,canada,1.0,286,williams lake,"['williams lake', 'lake jackson', 'carter lake', 'simonton lake', 'moses lake', 'asbury lake', 'liberty lake', 'barnes lake-millers lake', 'lake park', 'peach lake']",canada
375,KRG and Summer Water Sports Jump for Camp Ooch at Lake Joe Club,https://photos.smugmug.com/Muskoka/Summerwatersports-ski-shows/Summer-Water-Sports-KRG-Jump/i-VZm8WBt/4/00d4c963/L/IMG_6349-L.jpg,yes,canada,1.0,347,lake joe club,"['lakewood club', 'lake village', 'village of lakewood club', 'lakeway', 'lakefield', 'lake morton-berrydale', 'ham lake', 'lake park', 'town of lake', 'town of lake park']",canada
410,Photo 5: 5148 Sunset Drive: Eagle Bay House for sale (Shuswap Lake)  : MLS®# 10116034,https://mrp-listings.myrealpage.com/fit-in/320x0/filters:quality(80)/4/8/5/56779584/9fe53545deae4a8932f18710034fa968.jpg,yes,canada,1.0,379,shuswap lake,"['south salt lake', 'cold lake', 'lake wazeecha', 'lake hiawatha', 'indian mountain lake', 'mountain lake', 'upper lake', 'lake waccamaw', 'shasta lake', 'lake arthur']",canada
477,Homes with boats on river in polder reclaimed marsh near Lake Simcoe and Bradford Ontario Canada Holland Marsh East Holland River - Stock Image,https://c8.alamy.com/comp/P8JFJB/homes-with-boats-on-river-in-polder-reclaimed-marsh-near-lake-simcoe-and-bradford-ontario-canada-holland-marsh-east-holland-river-P8JFJB.jpg,yes,canada,1.0,443,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
504,Waterfall off the highway 93 on the way to Lake Louise to Jasper,https://photos.smugmug.com/Nature-Landscape/Water-Falls/i-ttP4Pvt/0/e48f5fba/S/FX7_7994-S.jpg,no,canada,1.0,467,lake louise,"['town of prairie lake', 'lake butler', 'lady lake', 'lake ridge', 'lake charles', 'lake haven', 'liberty lake', 'lakes', 'town of lake', 'twin lake']",canada
514,The Rockies Reflected in Bow Lake,http://photos.marthaboers.com/pixelpost/images/20101116150449_img_7288p.jpg,yes,canada,1.0,477,bow lake,"['lake arrowhead', 'horn lake', 'deer lake', 'town of bow', 'orchard lake', 'bass lake', 'bow island', 'laurel lake', 'treasure lake', 'bow']",canada
547,2 - A.J. Casson (1898-1992) - Casson Casson Matched # 3 Litho's 'Pugh Lake' and 'Oxtongue River' Embossed A.J.Casson - Approved (attn: 2 times the bid price) -,https://i.pinimg.com/236x/b1/30/3f/b1303fec8c856fa67cd96e08720ca913--auction-lakes.jpg,yes,canada,1.0,508,pugh lake,"['lake purdy', 'lake pocotopaug', 'pell lake', 'south gull lake', 'lake in the hills', 'mountain lake', 'lake brownwood', 'mammoth lakes', 'hudson lake', 'lake wisconsin']",canada
605,"1012 JAMES POINT Road, Lake Of Bays, Ontario (ID 213328)",https://www.youronlineagents.com//listingphotos/636/large_1382689_213328_39.jpg,yes,canada,1.0,564,ontario,"['ontario', 'city of ontario', 'ontario county', 'town of ontario', 'toronto', 'alberta', 'québec', 'manitoba', 'canada', 'cañada']",canada
676,Traveller at Lake Minnewanka,https://image.shutterstock.com/image-photo/traveller-lake-minnewanka-260nw-1226774254.jpg,yes,canada,1.0,631,lake minnewanka,"['lake latonka', 'lake lakengren', 'lake ronkonkoma', 'lake junaluska', 'lower lake', 'lake hiawatha', 'twin lake', 'lake illawarra', 'town of lake', 'lake dunlap']",canada
686,Summer on the lake: 'It's as Canadian as ice hockey,https://i.guim.co.uk/img/media/d89708bddec7f85083b0eaf0c668b438785228d5/0_0_2016_1210/master/2016.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=b57d1a2be45d7b5f9b1563fbbfc7b5f5,yes,canada,1.0,641,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
703,Lake Agnes #2 - Framed Print,https://cdn.shopify.com/s/files/1/0249/2435/6670/products/lake-agnes-2-brett-dexter_d02f0f0b-283b-4437-9229-d5b922522f1a_300x300.jpg?v=1573020601,yes,no,1.0,656,lake agnes,"['agnes water', 'lake grace', 'lake alfred', 'town of lake', 'lady lake', 'lake mary', 'lakes', 'lake lakengren', 'lino lakes', 'island lake']",canada
753,When we were at Morton lake near Campbell river it rained most of the time but there were brief breaks when the rain stopped and the clouds slowly rolled over the lake and forest.,https://i.pinimg.com/736x/4d/a5/1c/4da51c9e259e3b01f2255e2d840bf32a.jpg,yes,canada,1.0,703,morton lake,"['lake morton-berrydale', 'putnam lake', 'lakefield', 'simonton lake', 'moses lake', 'asbury lake', 'weston lakes', 'lakewood', 'barnes lake-millers lake', 'seeley lake']",canada
756,Sunset at Wedgemount lake Royalty Free Stock Image,https://thumbs.dreamstime.com/t/sunset-wedgemount-lake-whistler-32452246.jpg,yes,canada,1.0,706,wedgemount lake,"['mountain lake', 'horn lake', 'cheat lake', 'lake stickney', 'mountain lakes', 'cottage lake', 'greenwood lake', 'lake panorama', 'north lake', 'tower lake']",canada
769,"Muskoka's Premier Luxury Private Island Experience: 6 BR Vacation Cottage for Rent in High Lake , Ontario | HomeAway.ca",https://i.pinimg.com/236x/2e/e8/be/2ee8be6c3929866a39af11968c0f0e35--story-inspiration-wedding-inspiration.jpg,yes,canada,1.0,717,ontario,"['ontario', 'city of ontario', 'ontario county', 'town of ontario', 'toronto', 'alberta', 'québec', 'manitoba', 'canada', 'cañada']",canada
792,Mount Rundle and Two Jack Lake by Peter OReilly,https://render.fineartamerica.com/images/images-profile-flow/350/images/artworkimages/medium/2/2-mount-rundle-and-two-jack-lake-peter-oreilly.jpg,yes,canada,1.0,737,no,['no'],canada
812,Pink moon dips behind mountains  at Victoria Lake (best) 2020-04-07 bruce witzel photo,https://throughtheluminarylens.files.wordpress.com/2021/05/pink-moon-dips-behind-mountains-at-victoria-lake-best-2020-04-07-bruce-witzel-photo_thumb.jpg?w=704&h=1061,yes,new zealand,1.0,756,victoria lake,"['lake isabella', 'lake grace', 'wolverine lake', 'hudson lake', 'logan lake', 'lake charles', 'howard lake', 'lakes', 'harveys lake', 'yosemite lakes']",canada
911,Beautiful Lake Louise,https://stjulienperformancegroup.files.wordpress.com/2015/07/img_0998.jpg?w=350&,yes,canada,1.0,849,lake louise,"['town of prairie lake', 'lake butler', 'lady lake', 'lake ridge', 'lake charles', 'lake haven', 'liberty lake', 'lakes', 'town of lake', 'twin lake']",canada
921,"Area D (Oyster Bay/Buttle Lake) topographic map, elevation, relief",https://en-ca.topographic-map.com/pub/osm/relation/gco/lvmho/thumbnail.jpg,no,new zealand,1.0,859,no,['no'],canada
996,"Woman on tranquil winter lake dock, looking at full moon above mountains, Banff, Alberta, Canada",https://ak.picdn.net/offset/photos/5c7d79055f139b6d22e58be8/medium/offset_793752.jpg?DFghwDcb,yes,canada,1.0,926,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
998,"Fairview Lookout, Lake Louise, Canada",https://lh3.googleusercontent.com/p/AF1QipOikJYoO9H9I67jUTGAgQ-V68EqPODoyqikLqFX=w216-h144-c,yes,canada,1.0,928,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
7,"Lake George, Adirondack Ship, Shoreline Cruises, lake george, camping, campground, rv, vrbo, pop up, tent, warrensburg, trip advisor, expedia, travago, seasonal, full hookup, boating, campgrounds, state campground, reserve america",https://www.warrensburgtravelpark.com/wp-content/uploads/2019/02/Lake-George-Adirondack-Ship-Shoreline-Cruises.jpg,yes,united states,1.0,6,lake george,"['town of lake george', 'lake jackson', 'carter lake', 'lakeview', 'williams lake', 'lakes', 'lake park', 'lakewood', 'big lake', 'lake grace']",united states
25,Stream at the head of Josephine Lake. Glacier National Park (color),http://www.terragalleria.com/images/np-rockies/glac34103.jpeg,yes,montana,1.0,22,glacier national park,"['national park', 'mountain lake park', 'mountain park', 'mountain lodge park', 'summit park', 'lake forest park', 'mckinley park', 'niagara park', 'winter park', 'moss park']",united states
